plot,genus,species,herb layer,herb y/n,a-cover,a-alpha,b-cover,b-alpha,c-cover,c-alpha,d-cover,d-alpha,res
4,Podophyllum,peltatum,3,1,3,1,2,1,2,1,3,1,0
4,Acer,sp.,2,1,2,1,2,1,2,1,2,1,0
4,LONICERA,MORROWII,2,1,2,1,2,1,,0,,0,0
4,Smilax,hispida,2,1,2,1,2,1,2,1,,0,0
4,Prunus,serotina,2,1,2,1,2,1,2,1,3,1,0
4,Arisaema,triphyllum,2,1,2,1,2,1,2,1,2,1,0
4,Carex,pensylvanica,3,1,2,1,2,1,3,1,,0,0
4,Fagus,grandifolia,2,1,3,1,3,1,6,1,3,1,0
4,Carpinus,caroliniana,2,1,2,1,5,1,,0,2,1,0
4,Fraxinus,sp.,2,1,2,1,2,1,,0,2,1,0
4,Carya,cordiformis,2,1,1,1,,0,2,1,,0,0
4,Solidago,caesia,2,1,2,1,,0,,0,,0,0
4,Lindera,benzoin,2,1,2,1,2,1,,0,2,1,0
4,Pinus,strobus,1,1,2,1,,0,,0,,0,0
4,Glyceria,striata,2,1,2,1,2,1,1,1,,0,0
4,Circaea,lutetiana,2,1,2,1,2,1,,0,,0,0
4,Senecio,sp.,1,1,1,1,,0,,0,,0,0
4,Parthenocissus,quinquefolia,2,1,,0,2,1,2,1,1,1,0
4,ROSA,MULTIFLORA,2,1,,0,2,1,,0,,0,0
4,Allium,canadense,2,1,,0,1,1,,0,,0,0
4,Conopholis,americana,2,1,,0,2,1,2,1,,0,0
4,Crataegus,sp.,2,1,,0,1,1,1,1,,0,0
4,Impatiens,capensis,1,1,,0,2,1,,0,,0,0
4,Ostrya,virginiana,2,1,,0,2,1,4,1,2,1,0
4,LIGUSTRUM,VULGARE,2,1,,0,2,1,,0,,0,0
4,Geranium,maculatum,2,1,,0,2,1,2,1,,0,0
4,ALLIARIA,PETIOLATA,1,1,,0,1,1,,0,,0,0
4,Vitis,riparia,2,1,,0,1,1,,0,2,1,0
4,VERONICA,OFFICINALIS,2,1,,0,2,1,2,1,,0,0
4,Galium,concinnum,2,1,,0,,0,2,1,,0,0
4,Allium,tricoccum,2,1,,0,,0,2,1,,0,0
4,Carex,digitalis,2,1,,0,,0,2,1,2,1,0
4,Viola,sp.,2,1,,0,,0,2,1,,0,0
4,Polygonatum,pubescens,2,1,,0,,0,1,1,,0,0
4,Amphicarpaea,bracteata,2,1,,0,,0,2,1,,0,0
4,Amelanchier,sp.,2,1,,0,,0,3,1,,0,0
4,Rubus,sp.,2,1,,0,,0,2,1,,0,0
4,Vitis,aestivalis,2,1,,0,,0,1,1,2,1,0
4,Cornus,sp.,1,1,,0,,0,1,1,,0,0
4,Carex,radiata,2,1,,0,,0,2,1,,0,0
4,Cornus,alternifolia,2,1,,0,,0,1,1,1,1,0
4,Aster,lateriflorus,2,1,,0,,0,2,1,,0,0
4,Ulmus,sp.,2,1,,0,,0,,0,1,1,0
4,Prenanthes,sp.,2,1,,0,,0,,0,2,1,0
4,Carya,sp.,1,1,,0,,0,,0,2,1,0
4,Phytolacca,americana,1,1,,0,,0,,0,1,1,0
4,Erechtites,hieracifolia,1,1,,0,,0,,0,1,1,0
4,Fraxinus,pennsylvanica,2,1,,0,,0,,0,3,1,0
4,RHAMNUS,FRANGULA,2,1,,0,,0,,0,,0,1
4,Carex,hirsutella,1,1,,0,,0,,0,,0,1
4,Anemone,quinquefolia,1,1,,0,,0,,0,,0,1
4,Liriodendron,tulipifera,2,1,,0,,0,,0,,0,1
4,Leersia,virginica,2,1,,0,,0,,0,,0,1
4,Anemonella,thalictroides,2,1,,0,,0,,0,,0,1
4,Viola,sp.,2,1,,0,,0,,0,,0,1
4,Toxicodendron,radicans,2,1,,0,,0,,0,,0,1
4,BERBERIS,THUNBERGII,2,1,,0,,0,,0,,0,1
4,LONICERA,MAACKII,2,1,,0,,0,,0,,0,1
4,Mitchella,repens,2,1,,0,,0,,0,,0,1
4,Viburnum,acerifolium,1,1,,0,,0,,0,,0,1
4,Smilax,rotundifolia,2,1,,0,,0,,0,,0,1
4,EUONYMUS,ALATUS,,0,,0,,0,,0,,0,1
4,Prosartes,lanuginosa,1,1,,0,,0,,0,,0,1
5,Caulophyllum,thalictroides,6,1,7,1,4,1,2,1,2,1,0
5,Fraxinus,sp.,3,1,3,1,3,1,2,1,2,1,0
5,Acer,sp.,2,1,2,1,2,1,2,1,2,1,0
5,Geranium,maculatum,2,1,2,1,,0,,0,,0,0
5,Lindera,benzoin,3,1,6,1,3,1,,0,4,1,0
5,Fagus,grandifolia,2,1,2,1,4,1,3,1,2,1,0
5,Fraxinus,pennsylvanica,2,1,2,1,2,1,2,1,,0,0
5,Parthenocissus,quinquefolia,2,1,2,1,2,1,2,1,2,1,0
5,Allium,tricoccum,2,1,2,1,2,1,2,1,2,1,0
5,Trillium,sp.,3,1,2,1,2,1,2,1,2,1,0
5,Sanicula,canadensis,2,1,1,1,2,1,,0,2,1,0
5,Unknown,dicot,1,1,1,1,1,1,,0,,0,0
5,Podophyllum,peltatum,2,1,2,1,2,1,,0,2,1,0
5,Arisaema,triphyllum,2,1,2,1,2,1,2,1,2,1,0
5,Polygonatum,pubescens,2,1,2,1,2,1,2,1,2,1,0
5,Impatiens,capensis,2,1,1,1,,0,,0,,0,0
5,Carya,cordiformis,2,1,1,1,,0,1,1,1,1,0
5,Viola,sp.,2,1,2,1,2,1,,0,,0,0
5,Prunus,serotina,2,1,1,1,,0,1,1,5,1,0
5,Acer,saccharum,2,1,7,1,4,1,4,1,1,1,0
5,Euonymus,obovatus,2,1,1,1,,0,2,1,,0,0
5,Actaea,alba,2,1,2,1,2,1,,0,1,1,0
5,Osmorhiza,claytonii,2,1,1,1,,0,,0,,0,0
5,Hepatica,acutiloba,2,1,2,1,2,1,2,1,1,1,0
5,Hydrophyllum,canadense,2,1,1,1,2,1,2,1,1,1,0
5,Polystichum,acrostichoides,2,1,2,1,2,1,2,1,2,1,0
5,Athyrium,thelypteroides,2,1,2,1,,0,2,1,2,1,0
5,Acer,nigrum,,0,2,1,,0,,0,,0,0
5,Sambucus,canadensis,2,1,2,1,,0,,0,,0,0
5,Carex,plantaginea,2,1,2,1,2,1,2,1,2,1,0
5,Moss,sp.,2,1,2,1,2,1,,0,2,1,0
5,Unknown,dicot,1,1,,0,1,1,,0,,0,0
5,Polygonum,virginianum,2,1,,0,2,1,,0,1,1,0
5,Poa,alsodes,2,1,,0,2,1,,0,,0,0
5,Agrimonia,sp.,1,1,,0,1,1,,0,,0,0
5,Toxicodendron,radicans,1,1,,0,1,1,,0,,0,0
5,Collinsonia,canadensis,2,1,,0,2,1,1,1,,0,0
5,ROSA,MULTIFLORA,1,1,,0,1,1,,0,,0,0
5,Geum,sp.,1,1,,0,1,1,,0,,0,0
5,Galium,triflorum,2,1,,0,1,1,,0,2,1,0
5,Sanguinaria,canadensis,2,1,,0,2,1,1,1,,0,0
5,Ulmus,sp.,1,1,,0,1,1,,0,1,1,0
5,Viburnum,dentatum,1,1,,0,,0,1,1,,0,0
5,Prosartes,lanuginosa,2,1,,0,,0,1,1,1,1,0
5,Viburnum,acerifolium,2,1,,0,,0,2,1,,0,0
5,Ostrya,virginiana,1,1,,0,,0,1,1,1,1,0
5,Solidago,caesia,1,1,,0,,0,1,1,,0,0
5,Polygonatum,biflorum,1,1,,0,,0,1,1,,0,0
5,Tiarella,cordifolia,2,1,,0,,0,2,1,2,1,0
5,Hydrophyllum,virginianum,2,1,,0,,0,2,1,,0,0
5,Quercus,sp.,2,1,,0,,0,1,1,,0,0
5,Aesculus,glabra,2,1,,0,,0,1,1,,0,0
5,Circaea,lutetiana,2,1,,0,,0,,0,2,1,0
5,Liriodendron,tulipifera,1,1,,0,,0,,0,1,1,0
5,Maianthemum,racemosum,1,1,,0,,0,,0,1,1,0
5,Impatiens,pallida,2,1,,0,,0,,0,2,1,0
5,Cornus,alternifolia,2,1,,0,,0,,0,2,1,0
5,Ranunculus,hispidus,2,1,,0,,0,,0,2,1,0
5,Bidens,sp.,1,1,,0,,0,,0,1,1,0
5,Dryopteris,intermedia,1,1,,0,,0,,0,1,1,0
5,Viola,hastata,2,1,,0,,0,,0,,0,1
5,Ulmus,rubra,1,1,,0,,0,,0,1,1,0
5,Juglans,nigra,1,1,,0,,0,,0,,0,1
5,Carpinus,caroliniana,1,1,,0,,0,2,1,,0,0
5,Acer,rubrum,,0,,0,,0,2,1,,0,0
6,Toxicodendron,radicans,6,1,3,1,2,1,,0,,0,0
6,Galium,triflorum,2,1,2,1,2,1,,0,,0,0
6,Ostrya,virginiana,2,1,2,1,4,1,,0,,0,0
6,Moss,sp.,2,1,2,1,2,1,,0,,0,0
6,Panicum,clandestinum,2,1,2,1,2,1,,0,,0,0
6,Carex,sp.,5,1,4,1,3,1,,0,,0,0
6,Amphicarpaea,bracteata,6,1,6,1,5,1,,0,,0,0
6,Aster,umbellatus,1,1,1,1,,0,,0,,0,0
6,Leersia,virginica,2,1,2,1,2,1,,0,,0,0
6,Cryptotaenia,canadensis,6,1,2,1,3,1,,0,,0,0
6,Geum,canadense,2,1,2,1,2,1,,0,,0,0
6,Parthenocissus,quinquefolia,2,1,2,1,2,1,,0,,0,0
6,Polemonium,reptans,2,1,2,1,2,1,,0,,0,0
6,Elymus,riparius,2,1,2,1,,0,,0,,0,0
6,Prunella,vulgaris,1,1,1,1,,0,,0,,0,0
6,Fraxinus,sp.,2,1,2,1,2,1,,0,,0,0
6,Verbesina,alternifolia,7,1,6,1,6,1,,0,,0,0
6,Viola,sp.,2,1,2,1,2,1,,0,,0,0
6,Heliopsis,helianthoides,4,1,4,1,2,1,,0,,0,0
6,Impatiens,capensis,2,1,2,1,2,1,,0,,0,0
6,Clematis,virginiana,2,1,2,1,2,1,,0,,0,0
6,Solidago,gigantea,3,1,2,1,2,1,,0,,0,0
6,Lysimachia,ciliata,6,1,3,1,2,1,,0,,0,0
6,LYSIMACHIA,NUMMULARIA,4,1,4,1,,0,,0,,0,0
6,CELASTRUS,ORBICULATUS,2,1,2,1,2,1,,0,,0,0
6,Aster,lateriflorus,2,1,2,1,2,1,,0,,0,0
6,Sanicula,gregaria,6,1,2,1,3,1,,0,,0,0
6,Equisetum,hyemale,2,1,2,1,2,1,,0,,0,0
6,Thalictrum,dasycarpum,3,1,2,1,2,1,,0,,0,0
6,Carya,sp.,2,1,1,1,2,1,,0,,0,0
6,Zizia,aurea,2,1,1,1,2,1,,0,,0,0
6,Vitis,riparia,2,1,1,1,2,1,,0,,0,0
6,Agrimonia,sp.,1,1,1,1,,0,,0,,0,0
6,Verbena,urticifolia,2,1,2,1,,0,,0,,0,0
6,Elymus,hystrix,3,1,2,1,2,1,,0,,0,0
6,Desmodium,glutinosum,2,1,1,1,2,1,,0,,0,0
6,Viola,sp.,3,1,2,1,2,1,,0,,0,0
6,Solidago,canadensis,2,1,3,1,,0,,0,,0,0
6,Ulmus,sp.,2,1,2,1,,0,,0,,0,0
6,Solidago,patula,2,1,1,1,2,1,,0,,0,0
6,Lycopus,sp.,2,1,2,1,,0,,0,,0,0
6,LONICERA,MORROWII,2,1,6,1,6,1,,0,,0,0
6,Scutellaria,lateriflora,2,1,2,1,,0,,0,,0,0
6,Cinna,arundinacea,2,1,2,1,,0,,0,,0,0
6,Ranunculus,hispidus,2,1,2,1,2,1,,0,,0,0
6,Bidens,sp.,1,1,1,1,,0,,0,,0,0
6,Elymus,villosus,2,1,2,1,2,1,,0,,0,0
6,TUSSILAGO,FARFARA,2,1,2,1,,0,,0,,0,0
6,Aster,cordifolius,2,1,2,1,2,1,,0,,0,0
6,Poaceae,sp.,1,1,1,1,,0,,0,,0,0
6,Unknown,dicot,1,1,1,1,,0,,0,,0,0
6,Rumex,sp.,1,1,1,1,,0,,0,,0,0
6,MICROSTEGIUM,VIMINEUM,2,1,2,1,,0,,0,,0,0
6,Solidago,flexicaulis,2,1,2,1,2,1,,0,,0,0
6,Ribes,cynosbati,2,1,1,1,2,1,,0,,0,0
6,Circaea,lutetiana,3,1,2,1,2,1,,0,,0,0
6,Eupatorium,rugosum,2,1,2,1,,0,,0,,0,0
6,Cornus,alternifolia,2,1,2,1,2,1,,0,,0,0
6,Euonymus,obovatus,2,1,1,1,2,1,,0,,0,0
6,Festuca,subverticillata,2,1,2,1,2,1,,0,,0,0
6,Oxalis,stricta,2,1,2,1,2,1,,0,,0,0
6,ALLIARIA,PETIOLATA,2,1,2,1,2,1,,0,,0,0
6,Polygonatum,biflorum,1,1,1,1,,0,,0,,0,0
6,Symplocarpus,foetidus,2,1,1,1,2,1,,0,,0,0
6,MYOSOTIS,SCORPIOIDES,2,1,2,1,2,1,,0,,0,0
6,Geum,sp.,2,1,2,1,,0,,0,,0,0
6,Allium,tricoccum,2,1,2,1,2,1,,0,,0,0
6,Fraxinus,pennsylvanica,2,1,4,1,3,1,,0,,0,0
6,Carex,amphibola,3,1,2,1,2,1,,0,,0,0
6,Crataegus,sp.,,0,4,1,,0,,0,,0,0
6,Polygonum,virginianum,2,1,2,1,2,1,,0,,0,0
6,Blephilia,hirsuta,2,1,2,1,,0,,0,,0,0
6,Smilax,hispida,2,1,2,1,4,1,,0,,0,0
6,Tilia,americana,2,1,2,1,2,1,,0,,0,0
6,Bromus,pubescens,2,1,2,1,2,1,,0,,0,0
6,Carya,cordiformis,2,1,1,1,2,1,,0,,0,0
6,Juglans,nigra,1,1,1,1,1,1,,0,,0,0
6,HESPERIS,MATRONALIS,1,1,1,1,,0,,0,,0,0
6,Lindera,benzoin,2,1,1,1,2,1,,0,,0,0
6,Lobelia,sp.,1,1,1,1,1,1,,0,,0,0
6,LIGUSTRUM,VULGARE,4,1,3,1,3,1,,0,,0,0
6,TARAXACUM,OFFICINALE,1,1,1,1,,0,,0,,0,0
6,Pilea,pumila,1,1,1,1,,0,,0,,0,0
6,Arisaema,dracontium,2,1,2,1,,0,,0,,0,0
6,Carpinus,caroliniana,2,1,2,1,2,1,,0,,0,0
6,ROSA,MULTIFLORA,4,1,4,1,2,1,,0,,0,0
6,Glyceria,striata,2,1,2,1,,0,,0,,0,0
6,Poaceae,sp.,2,1,2,1,2,1,,0,,0,0
6,Phalaris,arundinacea,2,1,2,1,,0,,0,,0,0
6,Rudbeckia,laciniata,2,1,2,1,,0,,0,,0,0
6,Carex,sp.,3,1,3,1,,0,,0,,0,0
6,CONIUM,MACULATUM,4,1,2,1,,0,,0,,0,0
6,Cornus,sp.,1,1,1,1,,0,,0,,0,0
6,LIGUSTRUM,VULGARE,2,1,,0,2,1,,0,,0,0
6,Caulophyllum,thalictroides,2,1,,0,2,1,,0,,0,0
6,Senecio,obovatus,1,1,,0,2,1,,0,,0,0
6,Rubus,pensylvanicus,2,1,,0,2,1,,0,,0,0
6,Erigeron,annuus,2,1,,0,2,1,,0,,0,0
6,Monarda,fistulosa,2,1,,0,2,1,,0,,0,0
6,Euonymus,atropurpureus,3,1,,0,4,1,,0,,0,0
6,Eupatorium,sp.,1,1,,0,1,1,,0,,0,0
6,Carex,sp.,1,1,,0,1,1,,0,,0,0
6,Agrimonia,pubescens,2,1,,0,2,1,,0,,0,0
6,Poaceae,sp.,2,1,,0,2,1,,0,,0,0
6,Arisaema,triphyllum,2,1,,0,2,1,,0,,0,0
6,Anemone,virginiana,2,1,,0,2,1,,0,,0,0
6,Lactuca,sp.,2,1,,0,2,1,,0,,0,0
6,Hamamelis,virginiana,1,1,,0,1,1,,0,,0,0
