genus,species,subspecies or variation,flowering date 1,flowering date 2,flowering date 3,average date,month,day,designation,notes,synonym,form
Cryptotaenia,canadensis,,,,,11-Jun,6,11,summer,,,forb
Zizia,aurea,,,,,18-May,5,18,spring,,,forb
Thalictrum,pubescens,,,,,9-Jul,7,9,summer,,,forb
Carya,cordiformis,,,,,,,,,,,tree
CELASTRUS,ORBICULATUS,,,,,,,,,,,vine
Verbesina,alternifolia,,,,,28-Aug,8,28,summer,,,forb
Ranunculus,hispidus,,,,,5-May,5,5,spring,,,forb
Fraxinus,americana,,,,,11-Jun,6,11,,,,tree
URTICA,DIOICA,,,,,,,,summer,,,forb
Solidago,flexicaulis,,,,,15-Sep,9,15,summer,,,forb
Galium,aparine,,,,,9-May,5,9,spring,,,forb
Symplocarpus,foetidus,,,,,21-Apr,4,21,spring,,,forb
Cornus,sp.,,,,,,,,,,,sm tree
Acer,negundo,,,,,17-Jun,6,17,,,,tree
Arisaema,dracontium,,,,,30-May,5,30,spring,,,forb
Phlox,divaricata,,,,,1-May,5,1,spring,,,forb
Equisetum,sp.,,,,,,,,,,,fern
Tussilago,farfara,,5-Apr,23-Apr,22-Apr,16-Apr,4,16,spring,,,forb
Senecio,aureus,,,,,9-May,5,9,spring,,,forb
Rubus,sp.,,,,,,,,,,,shrub
Euonymus,atropurpureus,,18-Oct,,,,,,,,,shrub
Zizia,aptera,,15-May,11-May,8-May,11-May,5,11,spring,,,forb
Agrimonia,parviflora,,2-Aug,30-Aug,26-Jul,9-Aug,8,9,summer,,,forb
Carex,laxiculmis,,,,,22-May,5,22,,,,sedge
Viburnum,dentatum,,,,,6-Jun,6,6,,,,shrub
BERBERIS,THUNBERGII,,,,,5-May,5,5,,,,shrub
Mitchella,repens,,,,,31-May,5,31,spring,evergreen,,forb
Rubus,pensylvanicus,,11-Apr,6-Jun,24-May,14-May,5,14,,,,shrub
Pyrus,sp.,,,,,,,,,,,sm tree
Uvularia,sessilifolia,,,,2-May,2-May,5,2,spring,,,forb
Dryopteris,carthusiana,,,,,,,,,,,fern
Hamamelis,virginiana,,,,,,,,,,,sm tree
Dryopteris,intermedia,,,,,,,,,,,fern
Viola,sp.,,,,,,,,spring,,,forb
RANUNCULUS,FICARIA,,27-Apr,13-Apr,15-Apr,18-Apr,4,18,spring,,,forb
Floerkea,proserpinacoides,,25-Apr,6-May,18-Apr,26-Apr,4,26,spring,,,forb
Camassia,scilloides,,3-May,29-Apr,13-May,5-May,5,5,spring,,,forb
Prunus,virginiana,,,,,13-May,5,13,,,,sm tree
HESPERIS,MATRONALIS,,,,,16-May,5,16,spring,,,forb
Allium,vineale,,17-Jun,17-Jul,21-Jul,8-Jul,7,8,summer,,,forb
Ranunculus,recurvatus,,13-May,16-Jun,22-May,27-May,5,27,spring,,,forb
Asarum,canadense,,,,,30-Apr,4,30,spring,,,forb
Viola,rostrata,,21-Apr,4-May,28-Apr,27-Apr,4,27,spring,,,forb
Thelypteris,noveboracensis,,,,,,,,,,,fern
RHAMNUS,FRANGULA,,,,,,,,,,,shrub
Galium,asprellum,,,,,20-Jul,7,20,summer,,,forb
Onoclea,sensibilis,,,,,,,,summer,,,fern
Panax,trifolius,,1-May,24-May,21-May,15-May,5,15,spring,,,forb
Aesculus,glabra,,,,,29-Apr,4,29,,,,tree
CIRSIUM,ARVENSE,,30-Aug,30-Aug,26-Oct,18-Sep,9,18,summer,,,forb
Ranunculus,fascicularis,,26-Apr,9-May,2-Apr,22-Apr,4,22,spring,"this is probably something else, but it's only in one plot so instead of introducing sp.1 & 2 I'm leaving it as fascicularis",,forb
Lilium,sp.,,,,,,,,unknown,,,forb
Ranunculus,sp.,,,,,,,,spring,,,forb
Erechtites,hieracifolia,,,,,15-Sep,9,15,summer,,,forb
Phytolacca,americana,,,,,19-Aug,8,19,summer,,,forb
Rubus,hispidus,,,,,9-Jun,6,9,,,,vine
Poa,sp.,,,,,,,,,,,grass
Verbena,urticifolia,,,,,7-Jul,7,7,summer,,,forb
TRIFOLIUM,PRATENSE,,,,,25-Jun,6,25,summer,,,forb
Polygonum,sp.,,,,,,,,summer,,,forb
Fragaria,virginiana,,15-May,6-May,25-Apr,5-May,5,5,spring,,,forb
Juncus,effusus,,,,,21-Jun,6,21,summer,,,forb
BARBAREA,VERNA,,11-May,29-May,30-Apr,13-May,5,13,spring,,,forb
Oxalis,stricta,,,,,21-May,5,21,spring,,,forb
VIBURNUM,PLICATUM,,,,,,,,,,,shrub
VIBURNUM,OPULUS,,11-Jun,2-Jun,27-May,3-Jun,6,3,,,,shrub
Juncus,tenuis,,,,,7-Jul,7,7,summer,,,forb
Zizia,aurea,,9-May,21-May,24-May,18-May,5,18,spring,,,forb
Osmorhiza,longistylis,,,,,3-May,5,3,spring,,,forb
Erigenia,bulbosa,,20-Apr,13-Apr,21-Mar,7-Apr,4,7,spring,,,forb
Liriodendron,tulipifera,,,,,17-May,5,17,,,,tree
Conopholis,americana,,,,,,,,spring,,,forb
Luzula,multiflora,,26-May,6-Jun,12-May,25-May,5,25,spring,,,forb
Senecio,obovatus,,,,,4-May,5,4,spring,,,forb
Amelanchier,sp.,,,,,,,,,,,sm tree
Leersia,virginica,,,,,,,,,,,grass
Picea,sp.,,,,,,,,,,,tree
EUONYMUS,FORTUNEI,,,,,,,,,evergreen,,vine
DUCHESNEA,INDICA,,,,,,,,spring,,,forb
Mertensia,virginica,,2-May,28-Apr,11-Apr,23-Apr,4,23,spring,,,forb
Galium,palustre,,,,,,,,summer,,,forb
Agrimonia,striata,,,,,,,,summer,,,forb
Mitella,diphylla,,15-May,12-May,28-Apr,8-May,5,8,spring,,,forb
HEMEROCALLIS,FULVA,,23-Jul,7-Jul,18-Jul,16-Jul,7,16,summer,,,forb
Monarda,sp.,,,,,,,,summer,,,forb
DAUCUS,CAROTA,,,,,29-Jul,7,29,summer,,,forb
Pinus,nigra,,,,,,,,,,,tree
Vaccinium,pallidum,,,,,3-Jun,6,3,,,,shrub
Sassafras,albidum,,,,,2-May,5,2,,,,tree
Quercus,rubra,,,,,,,,,,,tree
Aster,cordifolius,,,,,4-Oct,10,4,summer,,,forb
Dicentra,cucullaria,,13-Apr,20-Apr,12-Apr,15-Apr,4,15,spring,,,forb
Anemone,quinquefolia,,,,2-May,2-May,5,2,spring,,,forb
Isopyrum,biternatum,,13-Apr,25-Apr,2-Apr,13-Apr,4,13,spring,,Enemion biternatum,forb
Trillium,sessile,,,,,,,,spring,,,forb
Asteraceae,spp.,,,,,,,,summer,,,forb
Lamiaceae,spp.,,,,,,,,summer,,,forb
Unknown,fern,,,,,,,,summer,,,fern
Unknown,vine,,,,,,,,,,,vine
Apocynaceae,spp.,,,,,,,,summer,,,forb
Cerastium,sp.,,,,,,,,summer,,,forb
Unknown,forb,,,,,,,,unknown,,,forb
Festuca,sp.,,,,,,,,,,,grass
