"","x"
"114","Fraxinus pennsylvanica"
"115","Fraxinus sp."
"116","Galium aparine"
"117","Galium concinnum"
"118","Galium sp."
"119","Galium triflorum"
"120","Geranium maculatum"
"121","Geum canadense"
"122","Geum sp."
"123","GLECHOMA HEDERACEA"
"124","Glyceria striata"
"125","Hackelia virginiana"
"126","Hamamelis virginiana"
"127","HEDERA HELIX"
"128","Hedyotis caerulea"
"129","Heliopsis helianthoides"
"130","Hepatica acutiloba"
"131","Heracleum lanatum"
"132","HESPERIS MATRONALIS"
"133","Hydrophyllum canadense"
"134","Hydrophyllum virginianum"
"135","HYPERICUM PERFORATUM"
"136","Impatiens capensis"
"137","Impatiens pallida"
"138","Impatiens sp."
"139","Iris sp."
"140","Jeffersonia diphylla"
"141","Juglans nigra"
"142","Juncus tenuis"
"143","Lactuca sp."
"144","Laportea canadensis"
"145","Leersia virginica"
"146","LIGUSTRUM VULGARE"
"147","Lindera benzoin"
"148","Liriodendron tulipifera"
"149","Lobelia sp."
"150","LONICERA MAACKII"
"151","LONICERA MORROWII"
"152","Luzula acuminata"
"153","Lycopus sp."
"154","Lysimachia ciliata"
"155","LYSIMACHIA NUMMULARIA"
"156","Magnolia acuminata"
"157","Maianthemum canadense"
"158","Maianthemum racemosum"
"159","MICROSTEGIUM VIMINEUM"
"160","Mitchella repens"
"161","Mitella diphylla"
"162","Monarda clinopodia"
"163","Monarda fistulosa"
"164","Monotropa uniflora"
"165","Moss sp."
"166","MYOSOTIS SCORPIOIDES"
"167","Nyssa sylvatica"
"168","Onoclea sensibilis"
"169","Osmorhiza claytonii"
"170","Osmorhiza longistylis"
"171","Osmunda cinnamomea"
"172","Osmunda claytoniana"
"173","Ostrya virginiana"
"174","Oxalis stricta"
"175","Panicum clandestinum"
"176","Panicum lanuginosum"
"177","Panicum latifolium"
"178","Panicum sp."
"179","Parthenocissus quinquefolia"
"180","Phalaris arundinacea"
"181","PHLEUM PRATENSE"
"182","Phytolacca americana"
"183","Pilea pumila"
"184","Pinus sp."
"185","Pinus strobus"
"186","Plantago rugelii"
"187","Plantago sp."
"188","Poa alsodes"
"189","POA COMPRESSA"
"190","POA PRATENSIS"
"191","Poa sylvestris"
"192","POA TRIVIALIS"
"193","Poaceae sp."
"194","Podophyllum peltatum"
"195","Polemonium reptans"
"196","Polygonatum biflorum"
"197","Polygonatum pubescens"
"198","Polygonum hydropiperoides"
"199","POLYGONUM PERSICARIA"
"200","Polygonum sagittatum"
"201","Polygonum sp."
"202","Polygonum virginianum"
"203","Polystichum acrostichoides"
"204","Potentilla simplex"
"205","Prenanthes sp."
"206","Prosartes lanuginosa"
"207","Prunella vulgaris"
"208","PRUNUS CERASUS"
"209","Prunus serotina"
"210","Prunus virginiana"
"211","PYRUS MALUS"
"212","Pyrus sp."
"213","Quercus sp."
"214","Ranunculus abortivus"
"215","RANUNCULUS ACRIS"
"216","Ranunculus hispidus"
"217","Ranunculus recurvatus"
"218","Ranunculus sp."
"219","RHAMNUS FRANGULA"
"220","Ribes americanum"
"221","Ribes cynosbati"
"222","Robinia pseudoacacia"
"223","ROSA MULTIFLORA"
"224","Rubus allegheniensis"
"225","Rubus flagellaris"
"226","Rubus hispidus"
"227","Rubus occidentalis"
"228","Rubus pensylvanicus"
"229","Rubus sp."
"230","Rudbeckia laciniata"
"231","RUMEX OBTUSIFOLIUS"
"232","Rumex sp."
"233","Sambucus canadensis"
"234","Sanguinaria canadensis"
"235","Sanicula canadensis"
"236","Sanicula gregaria"
"237","Sanicula sp."
"238","Sassafras albidum"
"239","Scirpus atrovirens"
"240","Scirpus sp."
"241","Scutellaria lateriflora"
"242","Sedum ternatum"
"243","Senecio obovatus"
"244","Senecio sp."
"245","Sisyrinchium sp."
"246","Smilax hispida"
"247","Smilax rotundifolia"
"248","SOLANUM DULCAMARA"
"249","Solidago caesia"
"250","Solidago canadensis"
"251","Solidago flexicaulis"
"252","Solidago gigantea"
"253","Solidago patula"
"254","Solidago rugosa"
"255","Solidago sp."
"256","Symplocarpus foetidus"
"257","TARAXACUM OFFICINALE"
"258","Taxus canadensis"
"259","Thalictrum dasycarpum"
"260","Thalictrum pubescens"
"261","Thaspium barbinode"
"262","Thelypteris noveboracensis"
"263","Tiarella cordifolia"
"264","Tilia americana"
"265","Toxicodendron radicans"
"266","TRIFOLIUM REPENS"
"267","Trillium sp."
"268","Tsuga canadensis"
"269","TUSSILAGO FARFARA"
"270","Ulmus americana"
"271","Ulmus rubra"
"272","Ulmus sp."
"273","Unknown dicot"
"274","Vaccinium angustifolium"
"275","Vaccinium pallidum"
"276","Verbena urticifolia"
"277","Verbesina alternifolia"
"278","VERONICA OFFICINALIS"
"279","VERONICA SERPYLLIFOLIA"
"280","Viburnum acerifolium"
"281","Viburnum dentatum"
"282","Viburnum lentago"
"283","VIBURNUM OPULUS"
"284","VIBURNUM PLICATUM"
"285","Viola pubescens"
"286","Viola sp."
"287","Viola striata"
"288","Vitis aestivalis"
"289","Vitis riparia"
"290","Vitis sp."
"291","Zizia aurea"
